time,x_coor,y_coor,z_coor
1713544671138,2.006340980529785,3.469198226928711,8.99740982055664
1713544671248,2.140416383743286,3.507505416870117,8.710105895996094
1713544671249,2.1715409755706787,3.509899616241455,8.786720275878906
1713544671250,2.1715409755706787,3.485957622528076,8.9064302444458
1713544671247,2.1045033931732178,3.529053211212158,8.777143478393555
1713544671398,2.070984363555908,3.4356794357299805,9.196128845214844
1713544671399,2.0207061767578125,3.3925838470458984,9.198522567749023
1713544671397,2.073378562927246,3.3901896476745605,9.114726066589355
1713544671400,1.9776105880737305,3.3231520652770996,9.121908187866211
1713544671401,2.0159177780151367,3.359065055847168,9.119514465332031
1713544671402,1.98958158493042,3.3638534545898438,9.064447402954102
1713544671403,2.0398597717285156,3.3854012489318848,9.045293807983398
1713544671435,2.032677173614502,3.3662476539611816,9.064447402954102
1713544671501,2.0231003761291504,3.315969467163086,9.117119789123535
1713544671502,2.0398597717285156,3.335123062133789,9.167398452758789
1713544671503,2.0470423698425293,3.354276657104492,9.117119789123535
1713544671504,2.0398597717285156,3.3446998596191406,9.014169692993164
1713544671572,2.032677173614502,3.380612850189209,9.002198219299316
1713544671573,2.006340980529785,3.3949780464172363,9.02135181427002
1713544671610,2.032677173614502,3.375824451446533,9.006986618041992
1713544671611,1.9823989868164062,3.335123062133789,9.078812599182129
1713544671670,1.941697597503662,3.3494882583618164,9.229647636413574
1713544671669,1.9704279899597168,3.3279404640197754,9.17936897277832
1713544671671,1.944091796875,3.35667085647583,9.210494041442871
1713544671726,1.965639591217041,3.3734302520751953,9.14585018157959
1713544671727,1.9776105880737305,3.35667085647583,9.081207275390625
1713544671760,2.0446481704711914,3.3662476539611816,9.045293807983398
1713544671759,2.0207061767578125,3.31118106842041,9.004592895507812
1713544671811,2.0183119773864746,3.3423056602478027,9.08838939666748
1713544671812,1.987187385559082,3.3423056602478027,9.126696586608887
1713544671862,1.965639591217041,3.335123062133789,9.193734169006348
1713544671863,2.006340980529785,3.3063924312591553,9.17936897277832
1713544671893,2.013523578643799,3.313575267791748,9.126696586608887
1713544671939,2.006340980529785,3.354276657104492,9.069235801696777
1713544671940,2.027888774871826,3.3423056602478027,9.10993766784668
1713544671938,2.006340980529785,3.332728862762451,9.045293807983398
1713544671996,2.030282974243164,3.3446998596191406,9.107542991638184
1713544671997,2.008735179901123,3.313575267791748,9.14585018157959
1713544672027,2.027888774871826,3.2297780513763428,9.191340446472168
1713544672079,2.0183119773864746,3.205836057662964,9.193734169006348
1713544672081,2.0374655723571777,3.220201253890991,9.133879661560059
1713544672082,2.075772762298584,3.1866824626922607,9.023746490478516
1713544672137,2.073378562927246,3.203441858291626,8.99740982055664
1713544672139,2.056619167327881,3.222595453262329,9.057265281677246
1713544672138,2.0901381969451904,3.203441858291626,9.028534889221191
1713544672167,2.049436569213867,3.251325845718384,9.100360870361328
1713544672222,2.0183119773864746,3.2417490482330322,9.129091262817383
1713544672221,2.0422539710998535,3.2561142444610596,9.119514465332031
1713544672271,2.008735179901123,3.1651346683502197,9.30386734008789
1713544672272,2.03507137298584,3.220201253890991,9.260771751403809
1713544672301,2.0614075660705566,3.265691041946411,9.169792175292969
1713544672351,2.121262788772583,3.220201253890991,9.030928611755371
1713544672399,2.1092917919158936,3.1651346683502197,9.05487060546875
1713544672400,2.1116859912872314,3.136404275894165,9.090784072875977
1713544672429,2.078166961669922,3.114856481552124,9.188945770263672
1713544672479,2.0470423698425293,3.1316158771514893,9.275136947631836
1713544672480,2.0374655723571777,3.181894063949585,9.184157371520996
1713544672537,2.0590133666992188,3.2082302570343018,9.08838939666748
1713544672538,2.075772762298584,3.2154128551483154,9.095572471618652
1713544672539,2.078166961669922,3.222595453262329,9.08838939666748
1713544672566,2.049436569213867,3.224989652633667,9.090784072875977
1713544672619,2.027888774871826,3.2369606494903564,9.141061782836914
1713544672618,2.0398597717285156,3.2393548488616943,9.114726066589355
1713544672668,2.0398597717285156,3.251325845718384,9.172186851501465
1713544672669,2.0470423698425293,3.2585084438323975,9.117119789123535
1713544672694,2.0374655723571777,3.2178070545196533,9.095572471618652
1713544672746,2.051830768585205,3.205836057662964,9.121908187866211
1713544672747,2.0470423698425293,3.1914708614349365,9.14345645904541
1713544672748,2.0183119773864746,3.2154128551483154,9.131484985351562
1713544672802,1.9943699836730957,3.2585084438323975,9.191340446472168
1713544672801,2.0159177780151367,3.248931646347046,9.133879661560059
1713544672828,2.030282974243164,3.2417490482330322,9.198522567749023
1713544672877,2.032677173614502,3.220201253890991,9.17697525024414
1713544672878,2.054224967956543,3.1483752727508545,9.133879661560059
1713544672927,2.099714994430542,3.162740468978882,9.05247688293457
1713544672928,2.099714994430542,3.2178070545196533,9.01895809173584
1713544672953,2.0853497982025146,3.246537446975708,9.01895809173584
1713544673001,2.0853497982025146,3.272873640060425,8.99740982055664
1713544673002,2.054224967956543,3.3039982318878174,9.026140213012695
1713544673003,2.0159177780151367,3.2752678394317627,9.0859956741333
1713544673048,1.9632453918457031,3.2154128551483154,9.208099365234375
1713544673073,1.9369091987609863,3.2417490482330322,9.244012832641602
1713544673120,1.9273324012756348,3.2824504375457764,9.217676162719727
1713544673121,1.9273324012756348,3.3039982318878174,9.220070838928223
1713544673122,1.9297266006469727,3.2992098331451416,9.210494041442871
1713544673170,1.9369091987609863,3.2632968425750732,9.2033109664917
1713544673171,1.9704279899597168,3.2393548488616943,9.244012832641602
1713544673194,1.9823989868164062,3.2130186557769775,9.23443603515625
1713544673242,1.9847931861877441,3.227383852005005,9.169792175292969
1713544673243,2.0638017654418945,3.287238836288452,9.040505409240723
1713544673296,2.073378562927246,3.272873640060425,9.069235801696777
1713544673297,2.1045033931732178,3.251325845718384,9.102754592895508
1713544673320,2.0829553604125977,3.2393548488616943,9.081207275390625
1713544673364,2.1164743900299072,3.2154128551483154,9.0859956741333
1713544673363,2.1116859912872314,3.2106244564056396,9.093177795410156
1713544673407,2.1045033931732178,3.205836057662964,9.045293807983398
1713544673430,2.094926595687866,3.2297780513763428,9.042900085449219
1713544673476,2.099714994430542,3.2561142444610596,9.059659004211426
1713544673477,2.0446481704711914,3.2968156337738037,9.129091262817383
1713544673500,2.0254945755004883,3.313575267791748,9.167398452758789
1713544673544,2.0422539710998535,3.3255462646484375,9.198522567749023
1713544673545,2.013523578643799,3.308786630630493,9.184157371520996
1713544673567,2.0422539710998535,3.337517261505127,9.148244857788086
1713544673612,2.049436569213867,3.3518824577331543,9.119514465332031
1713544673634,2.078166961669922,3.3303346633911133,9.097966194152832
1713544673635,2.097320795059204,3.318363666534424,9.0859956741333
1713544673682,2.126051187515259,3.2992098331451416,9.05247688293457
1713544673683,2.126051187515259,3.2417490482330322,9.081207275390625
1713544673705,2.1332337856292725,3.1962592601776123,9.028534889221191
1713544673749,2.1475989818573,3.1723172664642334,9.078812599182129
1713544673750,2.1332337856292725,3.1483752727508545,9.095572471618652
1713544673772,2.1116859912872314,3.1435868740081787,9.107542991638184
1713544673776,2.1284453868865967,3.1675288677215576,9.117119789123535
1713544673818,2.121262788772583,3.1699230670928955,9.11233139038086
1713544673819,2.126051187515259,3.220201253890991,9.117119789123535
1713544673842,2.1116859912872314,3.2178070545196533,9.117119789123535
1713544673890,2.118868589401245,3.2561142444610596,9.097966194152832
1713544673911,2.1380221843719482,3.2776620388031006,8.999804496765137
1713544673916,2.126051187515259,3.287238836288452,9.014169692993164
1713544673958,2.0470423698425293,3.313575267791748,9.2033109664917
1713544673980,2.032677173614502,3.2752678394317627,9.205705642700195
1713544674026,2.0183119773864746,3.2297780513763428,9.255983352661133
1713544674027,2.056619167327881,3.19865345954895,9.244012832641602
1713544674048,2.078166961669922,3.1507694721221924,9.162610054016113
1713544674096,2.1308395862579346,3.1866824626922607,9.069235801696777
1713544674097,2.140416383743286,3.2609026432037354,9.030928611755371
1713544674118,2.145204782485962,3.315969467163086,8.968679428100586
1713544674165,2.1308395862579346,3.315969467163086,9.016563415527344
1713544674186,2.070984363555908,3.2632968425750732,9.095572471618652
1713544674230,2.10210919380188,3.246537446975708,9.117119789123535
1713544674231,2.0829553604125977,3.205836057662964,9.150638580322266
1713544674252,2.070984363555908,3.2082302570343018,9.184157371520996
